교과,지역,원본값,연도,배치,지원,커트라인
미용,광명,,2022,0,0,0.0
조리,광명,,2022,0,0,0.0
연극영화,광명,,2022,0,0,0.0
만화,광명,,2022,0,0,0.0
심리학,광명,,2022,0,0,0.0
진로진학상담,광명,,2022,0,0,0.0
전문상담,광명,4/5(4.3),2022,4,5,4.3
특수,광명,,2022,0,0,0.0
보건,광명,,2022,0,0,0.0
사서,광명,,2022,0,0,0.0
영양,광명,,2022,0,0,0.0
교육학,광명,,2022,0,0,0.0
도덕윤리,안산,3/3(1.0),2022,3,3,1.0
국어,안산,5/5(3.10),2022,5,5,3.1
수학,안산,7/7(2.7),2022,7,7,2.7
일반사회,안산,,2022,0,0,0.0
역사,안산,1/1(4.6),2022,1,1,4.6
지리,안산,,2022,0,0,0.0
통합사회,안산,1/1(6.6),2022,1,1,6.6
물리,안산,3/3(2.0),2022,3,3,2.0
화학,안산,1/1(2.7),2022,1,1,2.7
생물,안산,1/1(4.0),2022,1,1,4.0
지구과학,안산,1/1(4.0),2022,1,1,4.0
통합과학,안산,1/1(6.6),2022,1,1,6.6
체육,안산,5/5(1.0),2022,5,5,1.0
음악,안산,1/1(3.2),2022,1,1,3.2
미술,안산,1/1(6.0),2022,1,1,6.0
한문,안산,1/1(2.0),2022,1,1,2.0
영어,안산,6/6(2.7),2022,6,6,2.7
일본어,안산,,2022,0,0,0.0
중국어,안산,,2022,0,0,0.0
독일어,안산,,2022,0,0,0.0
프랑스어,안산,,2022,0,0,0.0
러시아어,안산,,2022,0,0,0.0
스페인어,안산,,2022,0,0,0.0
아랍어,안산,,2022,0,0,0.0
기술가정,안산,,2022,0,0,0.0
기술,안산,3/3(2.7),2022,3,3,2.7
가정,안산,3/3(5.0),2022,3,3,5.0
농업,안산,,2022,0,0,0.0
임업,안산,,2022,0,0,0.0
원예,안산,,2022,0,0,0.0
조경,안산,,2022,0,0,0.0
식물자원조경,안산,,2022,0,0,0.0
축산,안산,,2022,0,0,0.0
잠업,안산,,2022,0,0,0.0
동물자원,안산,,2022,0,0,0.0
식품가공,안산,,2022,0,0,0.0
농토목,안산,,2022,0,0,0.0
농업기계,안산,,2022,0,0,0.0
농기계,안산,,2022,0,0,0.0
농업토목,안산,,2022,0,0,0.0
농공,안산,,2022,0,0,0.0
공업,안산,,2022,0,0,0.0
건축,안산,,2022,0,0,0.0
토목,안산,,2022,0,0,0.0
건설,안산,,2022,0,0,0.0
전기,안산,,2022,0,0,0.0
전자,안산,,2022,0,0,0.0
통신,안산,,2022,0,0,0.0
전기전자통신,안산,,2022,0,0,0.0
화공,안산,,2022,0,0,0.0
섬유,안산,,2022,0,0,0.0
화공섬유,안산,,2022,0,0,0.0
금속,안산,,2022,0,0,0.0
기계,안산,,2022,0,0,0.0
재료,안산,,2022,0,0,0.0
자동차,안산,,2022,0,0,0.0
기계금속,안산,,2022,0,0,0.0
환경,안산,,2022,0,0,0.0
상업정보,안산,1/2(5.0),2022,1,2,5.0
공예,안산,,2022,0,0,0.0
디자인,안산,,2022,0,0,0.0
디자인공예,안산,1/1(4.0),2022,1,1,4.0
정보컴퓨터,안산,1/1(5.0),2022,1,1,5.0
전자계산,안산,,2022,0,0,0.0
의상,안산,,2022,0,0,0.0
철학,안산,,2022,0,0,0.0
관광,안산,,2022,0,0,0.0
요업,안산,,2022,0,0,0.0
세라믹,안산,,2022,0,0,0.0
농산물유통,안산,,2022,0,0,0.0
미용,안산,,2022,0,0,0.0
조리,안산,,2022,0,0,0.0
연극영화,안산,,2022,0,0,0.0
만화,안산,,2022,0,0,0.0
심리학,안산,,2022,0,0,0.0
진로진학상담,안산,2/2(4.6),2022,2,2,4.6
전문상담,안산,2/2(4.0),2022,2,2,4.0
특수,안산,,2022,0,0,0.0
보건,안산,,2022,0,0,0.0
사서,안산,,2022,0,0,0.0
영양,안산,,2022,0,0,0.0
교육학,안산,,2022,0,0,0.0
도덕윤리,평택,1/1(4.0),2022,1,1,4.0
국어,평택,12/12(2.0),2022,12,12,2.0
수학,평택,2/2(5.2),2022,2,2,5.2
일반사회,평택,,2022,0,0,0.0
역사,평택,2/2(3.10),2022,2,2,3.1
지리,평택,1/1(4.10),2022,1,1,4.1
통합사회,평택,1/1(5.2),2022,1,1,5.2
물리,평택,3/3(6.6),2022,3,3,6.6
화학,평택,8/8(3.7),2022,8,8,3.7
생물,평택,4/4(2.7),2022,4,4,2.7
지구과학,평택,3/3(0.11),2022,3,3,0.11
통합과학,평택,2/2(6.0),2022,2,2,6.0
체육,평택,6/6(3.0),2022,6,6,3.0
음악,평택,4/4(3.0),2022,4,4,3.0
미술,평택,3/3(3.10),2022,3,3,3.1
한문,평택,1/1(6.6),2022,1,1,6.6
영어,평택,5/5(2.0),2022,5,5,2.0
일본어,평택,1/1(5.4),2022,1,1,5.4
중국어,평택,,2022,0,0,0.0
독일어,평택,,2022,0,0,0.0
프랑스어,평택,,2022,0,0,0.0
러시아어,평택,,2022,0,0,0.0
스페인어,평택,,2022,0,0,0.0
아랍어,평택,,2022,0,0,0.0
기술가정,평택,,2022,0,0,0.0
기술,평택,7/7(2.6),2022,7,7,2.6
가정,평택,,2022,0,0,0.0
농업,평택,,2022,0,0,0.0
임업,평택,,2022,0,0,0.0
원예,평택,,2022,0,0,0.0
조경,평택,,2022,0,0,0.0
식물자원조경,평택,,2022,0,0,0.0
축산,평택,,2022,0,0,0.0
잠업,평택,,2022,0,0,0.0
동물자원,평택,,2022,0,0,0.0
식품가공,평택,,2022,0,0,0.0
농토목,평택,,2022,0,0,0.0
농업기계,평택,,2022,0,0,0.0
농기계,평택,,2022,0,0,0.0
농업토목,평택,,2022,0,0,0.0
농공,평택,,2022,0,0,0.0
공업,평택,,2022,0,0,0.0
건축,평택,,2022,0,0,0.0
토목,평택,,2022,0,0,0.0
건설,평택,,2022,0,0,0.0
전기,평택,1/1,2022,1,1,0.0
전자,평택,,2022,0,0,0.0
통신,평택,,2022,0,0,0.0
전기전자통신,평택,5/5(6.0),2022,5,5,6.0
화공,평택,,2022,0,0,0.0
섬유,평택,,2022,0,0,0.0
화공섬유,평택,,2022,0,0,0.0
금속,평택,,2022,0,0,0.0
기계,평택,,2022,0,0,0.0
재료,평택,,2022,0,0,0.0
자동차,평택,,2022,0,0,0.0
기계금속,평택,2/2(3.0),2022,2,2,3.0
환경,평택,,2022,0,0,0.0
상업정보,평택,2/2(5.3),2022,2,2,5.3
공예,평택,,2022,0,0,0.0
디자인,평택,,2022,0,0,0.0
디자인공예,평택,,2022,0,0,0.0
정보컴퓨터,평택,,2022,0,0,0.0
전자계산,평택,,2022,0,0,0.0
의상,평택,,2022,0,0,0.0
철학,평택,,2022,0,0,0.0
관광,평택,,2022,0,0,0.0
요업,평택,,2022,0,0,0.0
세라믹,평택,,2022,0,0,0.0
농산물유통,평택,,2022,0,0,0.0
미용,평택,,2022,0,0,0.0
조리,평택,,2022,0,0,0.0
연극영화,평택,,2022,0,0,0.0
만화,평택,,2022,0,0,0.0
심리학,평택,,2022,0,0,0.0
진로진학상담,평택,2/2(1.0),2022,2,2,1.0
전문상담,평택,3/3(4.9),2022,3,3,4.9
특수,평택,,2022,0,0,0.0
보건,평택,,2022,0,0,0.0
사서,평택,,2022,0,0,0.0
